Componente,Estacoes
Componente 1,Jabaquara
Componente 2,Conceição
Componente 3,São Judas
Componente 4,Saúde-Ultrafarma
Componente 5,Praça Da Árvore
Componente 6,Santa Cruz
Componente 7,Vila Mariana
Componente 8,"Paraíso, Ana Rosa"
Componente 9,Vergueiro
Componente 10,São Joaquim
Componente 11,Liberdade
Componente 12,"Sé, Luz"
Componente 13,São Bento
Componente 14,Tiradentes
Componente 15,Armênia
Componente 16,Portuguesa-Tietê
Componente 17,Carandiru
Componente 18,Santana
Componente 19,Jardim São Paulo-Ayrton Senna
Componente 20,Parada Inglesa
Componente 21,Tucuruvi
Componente 22,"Tamanduateí, Vila Prudente"
Componente 23,Sacomã
Componente 24,Alto Do Ipiranga
Componente 25,Santos-Imigrantes
Componente 26,Chácara Klabin
Componente 27,Brigadeiro
Componente 28,Trianon-Masp
Componente 29,"Paulista, Consolação"
Componente 30,Clínicas
Componente 31,Sumaré
Componente 32,Vila Madalena
Componente 33,Corinthians-Itaquera
Componente 34,Artur Alvim
Componente 35,Patriarca
Componente 36,Guilhermina-Esperança
Componente 37,Vila Matilde
Componente 38,Penha
Componente 39,Carrão
Componente 40,Tatuapé
Componente 41,Belém
Componente 42,Bresser-Mooca
Componente 43,"Brás, República"
Componente 44,Pedro Ii
Componente 45,Anhangabaú
Componente 46,"Santa Cecília, Barra Funda"
Componente 47,Marechal Deodoro
Componente 48,Palmeiras-Barra Funda
Componente 49,Higienópolis-Mackenzie
Componente 50,Fradique Coutinho
Componente 51,Faria Lima
Componente 52,Pinheiros
Componente 53,Butantã
Componente 54,São Paulo-Morumbi
Componente 55,Vila Sônia
Componente 56,Oscar Freire
Componente 57,Capão Redondo
Componente 58,Campo Limpo
Componente 59,Vila Das Belezas
Componente 60,Giovanni Gronchi
Componente 61,Santo Amaro
Componente 62,Largo Treze
Componente 63,Adolfo Pinheiro
Componente 64,Alto Da Boa Vista
Componente 65,Borba Gato
Componente 66,Brooklin
Componente 67,Campo Belo
Componente 68,Eucaliptos
Componente 69,Moema
Componente 70,Aacd-Servidor
Componente 71,Hospital São Paulo
Componente 72,Jundiaí
Componente 73,Várzea Paulista
Componente 74,Campo Limpo Paulista
Componente 75,Botujuru
Componente 76,Francisco Morato
Componente 77,Baltazar Fidélis
Componente 78,Franco Da Rocha
Componente 79,Caieiras
Componente 80,Perus
Componente 81,Vila Aurora
Componente 82,Jaraguá
Componente 83,Vila Clarice
Componente 84,Pirituba
Componente 85,Piqueri
Componente 86,Lapa
Componente 87,Água Branca
Componente 88,Amador Bueno
Componente 89,Ambuitá
Componente 90,Santa Rita
Componente 91,Itapevi
Componente 92,Engenheiro Cardoso
Componente 93,Sagrado Coração
Componente 94,Jandira
Componente 95,Jardim Silveira
Componente 96,Jardim Belval
Componente 97,Barueri
Componente 98,Antônio João
Componente 99,Santa Terezinha
Componente 100,Carapicuíba
Componente 101,General Miguel Costa
Componente 102,Quitaúna
Componente 103,Comandante Sampaio
Componente 104,Osasco
Componente 105,Presidente Altino
Componente 106,Imperatriz Leopoldina
Componente 107,Domingos De Moraes
Componente 108,Júlio Prestes
Componente 109,Ceasa
Componente 110,Villa Lobos-Jaguaré
Componente 111,Cidade Universitária
Componente 112,Hebraica-Rebouças
Componente 113,Cidade Jardim
Componente 114,Vila Olímpia
Componente 115,Berrini
Componente 116,Morumbi
Componente 117,Granja Julieta
Componente 118,Socorro
Componente 119,Jurubatuba
Componente 120,Autódromo
Componente 121,Primavera-Interlagos
Componente 122,Grajaú
Componente 123,Bruno Covas- Mendes  Vila Natal
Componente 124,Varginha
Componente 125,Mooca
Componente 126,Ipiranga
Componente 127,São Caetano Do Sul-Prefeito Walter Braido
Componente 128,Utinga
Componente 129,Prefeito Saladino
Componente 130,Santo André
Componente 131,Capuava
Componente 132,Mauá
Componente 133,Guapituba
Componente 134,Ribeirão Pires
Componente 135,Rio Grande Da Serra
Componente 136,Dom Bosco
Componente 137,José Bonifácio
Componente 138,Guaianases
Componente 139,Antonio Gianetti Neto
Componente 140,Ferraz De Vasconcelos
Componente 141,Poá
Componente 142,Calmon Viana
Componente 143,Suzano
Componente 144,Jundiapeba
Componente 145,Mogi Das Cruzes
Componente 146,Estudantes
Componente 147,Brás Cubas
Componente 148,Engenheiro Goulart
Componente 149,Usp Leste
Componente 150,Comendador Ermelino
Componente 151,São Miguel Paulista
Componente 152,Jardim Helena-Vila Mara
Componente 153,Itaim Paulista
Componente 154,Jardim Romano
Componente 155,Engenheiro Manoel Feio
Componente 156,Itaquaquecetuba
Componente 157,Aracaré
Componente 158,Guarulhos-Cecap
Componente 159,Aeroporto-Guarulhos
Componente 160,Oratório
Componente 161,São Lucas
Componente 162,Camilo Haddad
Componente 163,Vila Tolstói
Componente 164,Vila União
Componente 165,Jardim Planalto
Componente 166,Sapopemba
Componente 167,Fazenda Da Juta
Componente 168,São Mateus
Componente 169,Jardim Colonial
